decile,mean_pred,mean_obs,n_fac_yrs,n_events
1,0.00000257639121316228,0,392975,0
2,0.0000054998034699567,0,392911,0
3,0.000728438836070091,0.000730283614674884,392998,287
4,0.00249486473076217,0.00229314601308188,392910,901
5,0.00377235939395205,0.0040872524043784,392929,1606
6,0.00529940188269654,0.00552510090753154,392934,2171
7,0.00714712450808216,0.00610230910562237,392966,2398
8,0.00953082668870147,0.00898154063071845,392917,3529
9,0.0135312251092534,0.0129637452855638,392942,5094
10,0.0273584776986129,0.0291874393996076,392943,11469
