dec,mean_pred,mean_actual,n,lift
1,0.00752607693875755,0.00816917777646771,118739,1
2,0.0111907764119498,0.0114727585161225,118716,1.4
3,0.0135439178010007,0.013198738170347,118875,1.62
4,0.0156221642741211,0.0150956762272616,118577,1.85
5,0.0175406295666358,0.0176356752208666,118850,2.16
6,0.0195989529031667,0.0185903380827923,118610,2.28
7,0.0216549625769837,0.0216717483954652,118726,2.65
8,0.0239335280409398,0.0234396706322144,118773,2.87
9,0.0267498546492392,0.0269607636636308,118691,3.3
10,0.0314245548402171,0.0325507341605803,118707,3.98
