dec,mean_pred,mean_actual,n,lift
1,0.000000000865636425339388,0,118576,
2,0.00000000123500623594865,0,118572,
3,0.00166605800257343,0.00137469217015822,118572,Inf
4,0.00642941114986962,0.00724307733819016,118596,Inf
5,0.0103761261124615,0.0114888232813159,118550,Inf
6,0.0139194028238657,0.0135862231817568,118576,Inf
7,0.0199574466781519,0.017845998144556,118570,Inf
8,0.0280105725994196,0.0260936300844206,118573,Inf
9,0.0364437865235561,0.038016849526476,118579,Inf
10,0.0719497967409973,0.0731141623372242,118568,Inf
