level,mean_pred,mean_actual,n_fac_years,covariate
Single-Walled,0.0277,0.0276,732986,Wall Type
Double-Walled,0.0204,0.0203,171106,Wall Type
Pre-1980 = No,0.0234,0.0233,522797,Pre-1980 Vintage
Pre-1980 = Yes,0.0303,0.0302,381295,Pre-1980 Vintage
0-4,0.0293,0.0292,127894,Tank Age (5-yr bins)
5-9,0.0195,0.0193,202919,Tank Age (5-yr bins)
15-19,0.0294,0.0293,165793,Tank Age (5-yr bins)
20-24,0.0318,0.0316,152003,Tank Age (5-yr bins)
25-29,0.0291,0.0289,39865,Tank Age (5-yr bins)
10-14,0.0241,0.0241,215618,Tank Age (5-yr bins)
