Sample,Stratification,HR,log_HR,SE,p,N,Events
SW PostMandate,4-dim,1.4716,0.38633,0.20805,0.0633,138510,16284
SW PostMandate,3-dim,1.337,0.29039,0.24904,0.2436,138510,16284
SW PostMandate,2-dim,1.4154,0.34744,0.24837,0.1618,138510,16284
SW PostMandate,1-dim,1.3904,0.32958,0.25744,0.2005,138510,16284
SW PostMandate,None,1.0859,0.08239,0.0836,0.3244,138510,16284
SW All Cohorts,4-dim,1.574,0.45362,0.21108,0.0316,349034,82035
SW All Cohorts,3-dim,1.4163,0.34802,0.235,0.1386,349034,82035
SW All Cohorts,2-dim,1.4996,0.40517,0.23285,0.0819,349034,82035
SW All Cohorts,1-dim,1.5976,0.46849,0.23922,0.0502,349034,82035
Fleet (SW-facilities),4-dim,1.4789,0.3913,0.20739,0.0592,142422,16833
Fleet (SW-facilities),3-dim,1.3423,0.2944,0.24778,0.2348,142422,16833
Fleet (SW-facilities),2-dim,1.4359,0.36177,0.24639,0.142,142422,16833
Fleet (SW-facilities),1-dim,1.4163,0.34805,0.25568,0.1734,142422,16833
Fleet (SW-facilities),None,1.0634,0.06151,0.02272,0.0068,142422,16833
