term,coef,exp_coef,se_model,robust_se,z,p,rel_year,hr,ci_lo,ci_hi,pct_change,pct_ci_lo,pct_ci_hi,period,pooled
ry_pool_pre,0.364185265939533,1.43934085029292,0.144419629035625,0.399452940851409,0.911710063176141,0.361921365144698,-6,1.43934085029292,0.657873577135651,3.14908845000592,43.9340850292925,-34.2126422864349,214.908845000592,Pre,1
ry_m5,0.360341006578353,1.43381827266683,0.221435878836216,0.324506989165828,1.11042602658463,0.266815488081579,-5,1.43381827266683,0.759046155737814,2.70844509716931,43.381827266683,-24.0953844262186,170.844509716931,Pre,0
ry_m4,0.508539108298641,1.66286016102984,0.188655318611912,0.335703465996175,1.51484616576594,0.129811366174151,-4,1.66286016102984,0.861190379104604,3.21079285397396,66.286016102984,-13.8809620895396,221.079285397396,Pre,0
ry_m3,0.578474569875849,1.78331603086821,0.163892472749896,0.298734712958233,1.93641563830156,0.0528168156860356,-3,1.78331603086821,0.992979293598666,3.20270129140972,78.3316030868214,-0.702070640133368,220.270129140972,Pre,0
ry_m2,0.304632365338561,1.3561263522988,0.16510192968341,0.294801869816015,1.0333461098082,0.301441956138253,-2,1.3561263522988,0.760956336305221,2.4167992244191,35.6126352298803,-23.9043663694779,141.67992244191,Pre,0
ref_year_m1,0,1,0,0,0,,-1,1,1,1,0,0,0,Ref,0
ry_0,0.808174426645011,2.24380800929493,0.107050397128886,0.259052875408501,3.11972768250729,0.00181018303780817,0,2.24380800929493,1.35044043966337,3.72817210941278,124.380800929493,35.0440439663365,272.817210941278,Post,0
ry_1,0.529312536020067,1.69776475522347,0.139455901161052,0.270427715494375,1.95731615397637,0.0503103094247238,1,1.69776475522347,0.999274476970295,2.88449793375907,69.7764755223465,-0.0725523029705077,188.449793375907,Post,0
ry_2,0.47917994362284,1.61474967332383,0.128630190420347,0.276174200334934,1.73506411186023,0.0827294500771165,2,1.61474967332383,0.939768708263307,2.77453003549982,61.4749673323828,-6.0231291736693,177.453003549982,Post,0
ry_3,0.6313954307203,1.88023248366493,0.11631860262237,0.283937717144651,2.2237110203948,0.0261678932914038,3,1.88023248366493,1.07775212367794,3.28022939130408,88.0232483664928,7.7752123677943,228.022939130408,Post,0
ry_4,0.279698026848991,1.32273032297938,0.130461303634235,0.350719096588856,0.797498709278663,0.425161452160734,4,1.32273032297938,0.66517081778277,2.63032511432351,32.2730322979378,-33.482918221723,163.032511432351,Post,0
ry_5,0.651335455499545,1.91810065743664,0.110683539887952,0.276535930571165,2.35533752939179,0.01850588767034,5,1.91810065743664,1.11552487223455,3.29809780456899,91.8100657436637,11.5524872234546,229.809780456899,Post,0
ry_6,0.116671688379703,1.12375042879612,0.127120268422906,0.26552610291245,0.439398187598048,0.66037303953603,6,1.12375042879612,0.667804726801215,1.89099444124685,12.3750428796123,-33.2195273198786,89.0994441246854,Post,0
ry_7,0.297842953304942,1.34695023718516,0.11140602938773,0.266352156014529,1.11822993198784,0.263468803632201,7,1.34695023718516,0.799149475505192,2.27025731363491,34.6950237185163,-20.0850524494808,127.025731363491,Post,0
ry_8,0.466789310658201,1.59486534688629,0.109230258673273,0.257049085422196,1.81595398361956,0.0693774312468366,8,1.59486534688629,0.963650215922934,2.63954226613501,59.4865346886286,-3.63497840770661,163.954226613501,Post,0
ry_9,0.271682075653299,1.31216976427465,0.115782346438384,0.275884549042044,0.984767275284762,0.324738398451915,9,1.31216976427465,0.76410379595088,2.2533450290401,31.2169764274648,-23.589620404912,125.33450290401,Post,0
ry_10,0.123374670052261,1.13130820885795,0.128439179079807,0.257253569452085,0.479583899710438,0.631523296949213,10,1.13130820885795,0.683285617452743,1.87309410697189,13.1308208857949,-31.6714382547257,87.3094106971886,Post,0
ry_11,-0.365914886389924,0.693561830248816,0.143054275394519,0.223358011681512,-1.63824383837946,0.101370838064519,11,0.693561830248816,0.447671045692383,1.07451222724068,-30.6438169751184,-55.2328954307617,7.45122272406835,Post,0
ry_12,0.112401959661331,1.11896254806775,0.115179886860565,0.244580853490386,0.459569741691774,0.645825082113839,12,1.11896254806775,0.692825917131028,1.80720315597183,11.8962548067751,-30.7174082868972,80.7203155971834,Post,0
ry_13,0.125865742093422,1.13412989215601,0.112016017393132,0.287910791303842,0.437169240942384,0.661988615125251,13,1.13412989215601,0.645042283280035,1.99405627448363,13.4129892156008,-35.4957716719965,99.4056274483626,Post,0
ry_14,0.204302191484578,1.22666878631397,0.110945449213116,0.239303153586854,0.853737982230256,0.393250183975237,14,1.22666878631397,0.767411596747595,1.96076827310688,22.6668786313965,-23.2588403252405,96.076827310688,Post,0
ry_pool_post,0.602273761155604,1.82626657707949,0.0451742105315896,0.269372184705479,2.23584243419233,0.0253620942159175,15,1.82626657707949,1.07713450519082,3.09640958903902,82.6266577079495,7.71345051908199,209.640958903902,Post,1
