term,coef,exp_coef,robust_se,robust se,z,p,rel_year,hr,ci_lo,ci_hi,pct_change,pct_ci_lo,pct_ci_hi,log_ci_lo,log_ci_hi,period,pooled
ry_pool_pre,1.7239491500357,5.60662620999749,0.45989970392255,0.597717358500352,2.88422132219988,0.00392382877385719,-6,5.60662620999749,2.27628728138297,13.8094421190689,460.662620999749,127.628728138297,1280.94421190689,0.822545730347507,2.6253525697239,Pre,1
ry_m5,0.736128043499681,2.08783583427873,0.488657175194219,0.635417704974651,1.15849470000061,0.246662213286479,-5,2.08783583427873,0.801203729842642,5.44063676757281,108.783583427873,-19.8796270157358,444.063676757281,-0.221640019880988,1.69389610688035,Pre,0
ry_m4,1.83045269930688,6.23670937356657,0.38999405077379,0.469714079882326,3.89695088502659,0.0000974113645114203,-4,6.23670937356657,2.90392816414016,13.3944579933678,523.670937356657,190.392816414016,1239.44579933678,1.06606435979025,2.59484103882351,Pre,0
ry_m3,0.581660027993939,1.7890057667924,0.416650641423196,0.553734738523109,1.0504308065362,0.293520088091688,-3,1.7890057667924,0.790590432947221,4.04829289634234,78.9005766792396,-20.9409567052779,304.829289634234,-0.234975229195526,1.3982952851834,Pre,0
ry_m2,0.74879232065379,2.11444490260644,0.298915274835338,0.475950827572134,1.57325563330448,0.115659638008402,-2,2.11444490260644,1.17694062620061,3.79872794483373,111.444490260644,17.6940626200608,279.872794483373,0.162918381976527,1.33466625933105,Pre,0
ref_year_m1,0,,0,,,,-1,1,1,1,0,0,0,0,0,Ref,0
ry_0,0.994124784214413,2.70235815945119,0.218816048471543,0.390650395131712,2.54479400661871,0.0109342220329827,0,2.70235815945119,1.75987947960848,4.14956802813398,170.235815945119,75.9879479608481,314.956802813398,0.565245329210188,1.42300423921864,Post,0
ry_1,0.802186171578718,2.23041166501057,0.244329687873978,0.391016657903044,2.05153963486033,0.0402144239395332,1,2.23041166501057,1.38167976966318,3.60049868619554,123.041166501057,38.1679769663178,260.049868619554,0.323299983345721,1.28107235981172,Post,0
ry_2,0.693548524252138,2.0008028484827,0.249023914323358,0.319892100733897,2.16807017947926,0.0301533473343362,2,2.0008028484827,1.22809188541029,3.25970074882391,100.08028484827,22.8091885410285,225.970074882391,0.205461652178356,1.18163539632592,Post,0
ry_3,0.0920225235948162,1.09638951643594,0.211659735452867,0.287408746282207,0.320179969417003,0.748831906676838,3,1.09638951643594,0.724096536416814,1.66009628729765,9.63895164359421,-27.5903463583186,66.0096287297648,-0.322830557892803,0.506875605082435,Post,0
ry_4,0.188199358203829,1.20707413149515,0.212160153904289,0.367279226685102,0.512414927199755,0.60836064609698,4,1.20707413149515,0.796415261833012,1.8294827193182,20.707413149515,-20.3584738166988,82.9482719318196,-0.227634543448577,0.604033259856235,Post,0
ry_5,1.0301739946291,2.80155324751245,0.160018047129152,0.344641370202902,2.98911878751702,0.00279783335430029,5,2.80155324751245,2.04733433428599,3.83361938849368,180.155324751245,104.733433428599,283.361938849368,0.716538622255964,1.34380936700224,Post,0
ry_6,-0.1782253547948,0.836753835751037,0.218535932099467,0.306534575292538,-0.581420071862081,0.560957372885084,6,0.836753835751037,0.545225514566746,1.28416033904877,-16.3246164248963,-45.4774485433254,28.4160339048771,-0.606555781709755,0.250105072120155,Post,0
ry_7,0.699504777950579,2.01275569961817,0.171136512461904,0.292204392325645,2.39388864891196,0.0166708090220549,7,2.01275569961817,1.43918533444115,2.8149157786676,101.275569961817,43.9185334441154,181.491577866761,0.364077213525248,1.03493234237591,Post,0
ry_8,0.800521084037446,2.22670092454645,0.159152741356728,0.295833673971572,2.70598364712995,0.00681023994565524,8,2.22670092454645,1.63000276474247,3.0418334953925,122.670092454645,63.0002764742475,204.18334953925,0.48858171097826,1.11246045709663,Post,0
ry_9,0.267170640836532,1.30626332918088,0.179024035072236,0.303071962296635,0.881541924274194,0.37802457287047,9,1.30626332918088,0.919691981325565,1.85532104205515,30.6263329180878,-8.03080186744345,85.5321042055146,-0.0837164679050512,0.618057749578115,Post,0
ry_10,0.103819059480448,1.10939970139555,0.183493955902058,0.266445467858654,0.38964468157335,0.696799307245999,10,1.10939970139555,0.774274285538298,1.58957583952418,10.9399701395545,-22.5725714461702,58.9575839524181,-0.255829094087586,0.463467213048481,Post,0
ry_11,-0.330650292646126,0.718456374591428,0.231017892418908,0.282075795738996,-1.1722037042557,0.241115281567952,11,0.718456374591428,0.456829354387249,1.12991767545984,-28.1543625408572,-54.3170645612752,12.9917675459838,-0.783445361787186,0.122144776494934,Post,0
ry_12,-0.00285210883775403,0.997151954560654,0.173010460409765,0.27302528425926,-0.0104463176203334,0.991665196043782,12,0.997151954560654,0.710381868026757,1.39968665479322,-0.284804543934569,-28.9618131973243,39.9686654793225,-0.341952611240894,0.336248393565386,Post,0
ry_13,-0.0576744738840423,0.943957180142433,0.178723371102951,0.341420053905304,-0.168925267348352,0.865855424332352,13,0.943957180142433,0.664997311463939,1.33993798558503,-5.6042819857567,-33.5002688536062,33.9937985585035,-0.407972281245826,0.292623333477742,Post,0
ry_14,0.256984190169149,1.29302468409622,0.162069924613788,0.245100844644795,1.04848349478998,0.294415902821272,14,1.29302468409622,0.941131069088096,1.77649308220385,29.3024684096215,-5.88689309119044,77.6493082203852,-0.0606728620738757,0.574641242412175,Post,0
ry_pool_post,0.69729708523447,2.00831705490541,0.0643313788422269,0.292276965662978,2.38574081146893,0.0170447590911565,15,2.00831705490541,1.77040366995272,2.27820211936844,100.831705490541,77.0403669952717,127.820211936844,0.571207582703705,0.823386587765235,Post,1
