term,coef,exp(coef),se(coef),z,Pr(>|z|)
did_term,,,0,,
has_single_walled,,,0,,
year_fac1986,,,0,,
year_fac1987,,,0,,
year_fac1988,,,0,,
year_fac1989,,,0,,
year_fac1990,,,0,,
year_fac1991,,,0,,
year_fac1992,,,0,,
year_fac1993,,,0,,
year_fac1994,,,0,,
year_fac1995,,,0,,
year_fac1996,,,0,,
year_fac1997,,,0,,
year_fac1998,,,0,,
year_fac1999,,,0,,
year_fac2000,,,0,,
year_fac2001,,,0,,
year_fac2002,,,0,,
year_fac2003,,,0,,
year_fac2004,,,0,,
year_fac2005,,,0,,
year_fac2006,,,0,,
year_fac2007,,,0,,
year_fac2008,,,0,,
year_fac2009,,,0,,
year_fac2010,,,0,,
year_fac2011,,,0,,
year_fac2012,,,0,,
year_fac2013,,,0,,
year_fac2014,,,0,,
year_fac2015,,,0,,
year_fac2016,,,0,,
year_fac2017,,,0,,
year_fac2018,,,0,,
year_fac2019,,,0,,
year_fac2020,,,0,,
did_term:has_single_walled,,,0,,
