state,n_sample,pct_miss_wall,pct_closed_no_date,pct_open,pct_closed_with_date,n_closed_missing,n_closed_total,current_status,verdict
AK,587,100,32.9,67.1,0,193,193,Candidate (not yet used),EXCLUDE — >50% unknown wall
CA,11344,0,0,100,0,0,0,Candidate (not yet used),OK
DE,495,100,3,55.8,41.2,15,219,Candidate (not yet used),EXCLUDE — >50% unknown wall
HI,660,100,21.1,78.9,0,139,139,Candidate (not yet used),EXCLUDE — >50% unknown wall
IL,6022,100,1.9,70.2,27.8,117,1793,Candidate (not yet used),EXCLUDE — >50% unknown wall
IN,5048,100,26.3,73.7,0,1328,1328,Candidate (not yet used),EXCLUDE — >50% unknown wall
LA,3074,9.3,0,62,38,0,1167,Candidate (not yet used),OK
MA,4038,0.9,1.1,69.6,29.3,46,1229,Candidate (not yet used),OK
ME,1852,0,0,34.6,65.4,0,1211,Candidate (not yet used),OK
MT,1891,48.1,1,75.1,23.9,19,471,Candidate (not yet used),CAUTION — >20% unknown wall
ND,1133,0,1.4,67.6,31,16,367,Candidate (not yet used),OK
NE,1590,100,2.1,97.9,0,33,33,Candidate (not yet used),EXCLUDE — >50% unknown wall
NH,1538,100,38.4,61.6,0,590,590,Candidate (not yet used),EXCLUDE — >50% unknown wall
NM,1160,100,0,71.8,28.2,0,327,Candidate (not yet used),EXCLUDE — >50% unknown wall
NV,1496,0,25.5,74.5,0,381,381,Candidate (not yet used),CAUTION — >20% closed missing date
NY,11521,100,47.8,52.2,0,5503,5503,Candidate (not yet used),EXCLUDE — >50% unknown wall
PA,13684,0,40.4,3.1,56.5,5531,13257,Candidate (not yet used),CAUTION — >20% closed missing date
RI,652,4.3,37.6,62.4,0,245,245,Candidate (not yet used),CAUTION — >20% closed missing date
SD,1538,0,13.6,78.7,7.7,209,328,Candidate (not yet used),OK
UT,1337,0,28,72,0,374,374,Candidate (not yet used),CAUTION — >20% closed missing date
WY,812,100,30.7,69.3,0,249,249,Candidate (not yet used),EXCLUDE — >50% unknown wall
AL,5210,80.4,0.7,82.1,17.2,35,930,Current V1 Control,EXCLUDE — >50% unknown wall
AR,4067,11.8,2.2,56.3,41.5,91,1779,Current V1 Control,OK
CO,2588,1.7,2.4,62.2,35.3,63,977,Current V1 Control,OK
GA,13460,0,49.5,50.5,0,6663,6663,Current V1 Control,CAUTION — >20% closed missing date
ID,1473,0,0.1,75.4,24.6,1,363,Current V1 Control,OK
KS,1972,0.1,1.8,69.2,29,36,608,Current V1 Control,OK
KY,4490,0,0.7,68.8,30.5,32,1400,Current V1 Control,OK
MN,6026,0,0.6,67.7,31.7,34,1947,Current V1 Control,OK
MO,2557,0,35,65,0,894,894,Current V1 Control,CAUTION — >20% closed missing date
NC,7515,8.7,0,80.3,19.7,2,1483,Current V1 Control,OK
OH,8580,0,2.2,65,32.8,192,3005,Current V1 Control,OK
OK,2437,0,0.5,59.5,40,13,987,Current V1 Control,OK
TN,5585,0.4,3.3,66,30.7,184,1901,Current V1 Control,OK
VA,7689,0,4.3,75.8,19.9,334,1863,Current V1 Control,OK
WV,2190,0,41.1,58.9,0,899,899,Current V1 Control,CAUTION — >20% closed missing date
TX,12473,0.6,0,62.8,37.2,0,4634,Target,OK
