group,state,n_sample,wall_miss_pct,closed_no_date_pct,pct_open,in_v1_final,in_v2_final
Target,TX,12473,0.6,0,62.8,FALSE,TRUE
V1 Control,AL,5210,80.4,0.7,82.1,FALSE,FALSE
V1 Control,AR,4067,11.8,2.2,56.3,TRUE,TRUE
V1 Control,CO,2588,1.7,2.4,62.2,TRUE,TRUE
V1 Control,GA,13460,0,49.5,50.5,TRUE,TRUE
V1 Control,ID,1473,0,0.1,75.4,TRUE,TRUE
V1 Control,KS,1972,0.1,1.8,69.2,TRUE,TRUE
V1 Control,KY,4490,0,0.7,68.8,TRUE,TRUE
V1 Control,MD,4490,0,2.2,53.9,TRUE,TRUE
V1 Control,MN,6026,0,0.6,67.7,TRUE,TRUE
V1 Control,MO,2557,0,35,65,TRUE,TRUE
V1 Control,NC,7515,8.7,0,80.3,TRUE,TRUE
V1 Control,OH,8580,0,2.2,65,TRUE,TRUE
V1 Control,OK,2437,0,0.5,59.5,TRUE,TRUE
V1 Control,TN,5585,0.4,3.3,66,TRUE,TRUE
V1 Control,VA,7689,0,4.3,75.8,TRUE,TRUE
V1 Control,WV,2190,0,41.1,58.9,TRUE,TRUE
V2 Caution,LA,3074,9.3,0,62,FALSE,TRUE
V2 Caution,MA,4038,0.9,1.1,69.6,FALSE,TRUE
V2 Caution,SD,1538,0,13.6,78.7,FALSE,TRUE
V2 Clean Addition,ME,1852,0,0,34.6,FALSE,TRUE
V2 Clean Addition,MT,1891,48.1,1,75.1,FALSE,FALSE
V2 Excluded,IL,6022,100,1.9,70.2,FALSE,FALSE
V2 Excluded,NM,1160,100,0,71.8,FALSE,FALSE
