install_year,var,hr,coef,se,p,ci_lo,ci_hi
1800,did_yr1800,,,0,,,
1889,did_yr1889,,,0,,,
1899,did_yr1899,,,0,,,
1900,did_yr1900,,,0,,,
1901,did_yr1901,,,0,,,
1902,did_yr1902,,,0,,,
1904,did_yr1904,,,0,,,
1905,did_yr1905,,,0,,,
1906,did_yr1906,,,0,,,
1907,did_yr1907,,,0,,,
1908,did_yr1908,,,0,,,
1909,did_yr1909,,,0,,,
1910,did_yr1910,,,0,,,
1911,did_yr1911,,,0,,,
1912,did_yr1912,,,0,,,
1913,did_yr1913,,,0,,,
1914,did_yr1914,,,0,,,
1915,did_yr1915,,,0,,,
1916,did_yr1916,,,0,,,
1917,did_yr1917,,,0,,,
1918,did_yr1918,,,0,,,
1919,did_yr1919,,,0,,,
1920,did_yr1920,,,0,,,
1921,did_yr1921,,,0,,,
1922,did_yr1922,,,0,,,
1923,did_yr1923,,,0,,,
1924,did_yr1924,,,0,,,
1925,did_yr1925,,,0,,,
1926,did_yr1926,12.5844797941385,2.53246429234467,1.17292623375697,0.0384820617376836,1.26304929687843,125.3863424654
1927,did_yr1927,,,0,,,
1928,did_yr1928,,,0,,,
1929,did_yr1929,,,0,,,
1930,did_yr1930,6.48394542161286,1.86932918644332,1.15505827675333,0.00948562699751434,0.673959650227486,62.3799187625903
1931,did_yr1931,,,0,,,
1932,did_yr1932,0.000228187849582896,-8.38534136655114,118.993198592589,0.0000000000218657520806107,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117283530673703,44396424969616400000000000000000000000000000000000000000000000000000000000000000000000000000000000
1933,did_yr1933,,,0,,,
1934,did_yr1934,83699.3631400385,11.334986647608,78.7468346927926,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000873333105787825,0.00000000000000000000000000000000000000000000000000000000000000779943666272224,898216588325115000000000000000000000000000000000000000000000000000000000
1935,did_yr1935,4.47521773875186,1.49855500724745,1.22587679471696,0.0403481565501165,0.404880421755015,49.4654044333059
1936,did_yr1936,358644.599612836,12.7900872039,64.5838571252531,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273496357844786,0.0000000000000000000000000000000000000000000000000379992712191993,3384958308528410000000000000000000000000000000000000000000000
1937,did_yr1937,,,0,,,
1938,did_yr1938,,,0,,,
1939,did_yr1939,143922.36753034,11.8770293188111,61.1477984392748,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000802946332046343,0.0000000000000000000000000000000000000000000000128254161842854,1615046839643170000000000000000000000000000000000000000000
1940,did_yr1940,3.74109407851669,1.31937810300936,0.288512667680552,0.0000357069622239237,2.12525814363387,6.58545172323488
1941,did_yr1941,36523.5255316459,10.5057118670606,62.0163502241013,0.00000000000000000000000000000000000000000000000000000000000000000000381827855045239,0.000000000000000000000000000000000000000000000000593184316150384,2248825332938530000000000000000000000000000000000000000000
1942,did_yr1942,,,0,,,
1943,did_yr1943,,,0,,,
