term,coef,se,t,p,rel_year,pp_change,pp_ci_lo,pp_ci_hi,period,pooled
ols_ry_m7,-0.00917006922131107,0.00488363892904227,-1.87771236869664,0.0667690588270965,-7,-0.917006922131107,-1.87420015222339,0.0401863079611769,Pre,0
ols_ry_m6,-0.0084117445280654,0.00474767700376583,-1.77176006737469,0.0830584280379385,-6,-0.84117445280654,-1.77171914554464,0.089370239931562,Pre,0
ols_ry_m5,-0.00631643442286846,0.00412486436784137,-1.53130717996771,0.132542422833134,-5,-0.631643442286846,-1.44011685838375,0.176829973810062,Pre,0
ols_ry_m4,-0.0154199891169901,0.00618504025205798,-2.4931105520064,0.0163235437599177,-4,-1.54199891169901,-2.75426680110237,-0.329731022295644,Pre,0
ols_ry_m3,-0.00738332458301638,0.00170886328845106,-4.32060576929401,0.0000823331876817959,-3,-0.738332458301638,-1.07326966283805,-0.403395253765231,Pre,0
ols_ry_m2,-0.00550275504684385,0.00100087856636921,-5.49792475505362,0.00000162594671575898,-2,-0.550275504684385,-0.74644770369275,-0.35410330567602,Pre,0
ref,0,0,0,1,-1,0,0,0,Ref,0
ols_ry_0,0.00160317367362833,0.0011318749614117,1.41638761195744,0.163398582165951,0,0.160317367362833,-0.061530125073859,0.382164859799526,Post,0
ols_ry_1,-0.00221176197232637,0.000742517322389706,-2.97873450979982,0.00460862709997672,1,-0.221176197232637,-0.36670959242102,-0.0756428020442552,Post,0
ols_ry_2,-0.00114117523548778,0.000746928081202155,-1.52782478555512,0.133403716801629,2,-0.114117523548778,-0.2605154274644,0.0322803803668448,Post,0
ols_ry_3,-0.00136591793363803,0.00106185521130382,-1.28635045446625,0.204757606747546,3,-0.136591793363803,-0.344715414779352,0.0715318280517468,Post,0
ols_ry_4,0.00300434139533215,0.00122214566639431,2.45825148175328,0.0177871832128971,4,0.300434139533215,0.0608935889199312,0.539974690146499,Post,0
ols_ry_5,0.00205272641939919,0.00138824758481035,1.47864577029293,0.146050556604208,5,0.205272641939919,-0.0668238846829088,0.477369168562747,Post,0
ols_ry_6,-0.00140734912783977,0.00172548676267444,-0.81562441293866,0.418918340688499,6,-0.140734912783977,-0.478930318268167,0.197460492700213,Post,0
ols_ry_7,-0.000377935497615352,0.00191776822320186,-0.197070476527325,0.844640570422078,7,-0.0377935497615352,-0.4136761215091,0.33808902198603,Post,0
ols_ry_8,0.00849568444067275,0.00182082618622561,4.66584043273425,0.0000267250336902582,8,0.849568444067275,0.492686511567055,1.20645037656749,Post,0
ols_ry_9,0.00270233067775349,0.00190543323557404,1.41822375473543,0.162864921742758,9,0.270233067775349,-0.103231846397163,0.643697981947861,Post,0
ols_ry_10,0.00151091563768354,0.0020298378558142,0.744352872006857,0.460448829543461,10,0.151091563768354,-0.246756655971229,0.548939783507938,Post,0
ols_ry_11,-0.000358415542023049,0.00210121244684792,-0.170575584853744,0.865305562053189,11,-0.0358415542023049,-0.447679193784497,0.375996085379887,Post,0
ols_ry_12,0.0020414438175972,0.00216509116955785,0.942890464060275,0.350662905121424,12,0.20414438175972,-0.220213487473618,0.628502250993058,Post,0
ols_ry_13,-0.000063427069206169,0.00261016705660339,-0.0243000037280015,0.980718419802385,13,-0.0063427069206169,-0.51793545001488,0.505250036173647,Post,0
ols_ry_14,0.0038861414465692,0.00265899937836337,1.46150521064098,0.150674901496621,14,0.38861414465692,-0.1325497335023,0.909778022816141,Post,0
