term,coef,se,t_stat,p,rel_year,coef_pp,ci_lo_pp,ci_hi_pp,period,pooled
ry_pool_pre,-0.0132108776754294,0.00421528210566365,-3.13404354543182,0.0064060802527122,-8,-1.32108776754294,-2.14728306025302,-0.494892474832866,Pre,1
ry_m7,-0.0135463949264494,0.00328951671598066,-4.11805018671597,0.000805487800536594,-7,-1.35463949264494,-1.99938476897715,-0.709894216312736,Pre,0
ry_m6,-0.0125833384848428,0.00267075583589033,-4.71152709496862,0.000235229153388031,-6,-1.25833384848428,-1.78180199231879,-0.73486570464978,Pre,0
ry_m5,-0.0103163391750075,0.00221567681275825,-4.65606676732105,0.000263561449957157,-5,-1.03163391750075,-1.46590657280137,-0.597361262200133,Pre,0
ry_m4,-0.00781717151367958,0.00192310151954438,-4.06487719667113,0.000900531606899432,-4,-0.781717151367958,-1.15864504919866,-0.404789253537258,Pre,0
ry_m3,-0.00505662228156502,0.00141658705982438,-3.56958101974468,0.00255845764565896,-3,-0.505662228156502,-0.78331329188208,-0.228011164430924,Pre,0
ry_m2,-0.00492255687125121,0.00112342197955746,-4.38175232532866,0.000464517404989791,-2,-0.492255687125121,-0.712446395118383,-0.27206497913186,Pre,0
ref_year,0,0,0,,-1,0,0,0,Ref,0
ry_0,0.00368151739115462,0.000769590607710772,4.78373482507236,0.000202949162380104,0,0.368151739115462,0.21731198000415,0.518991498226773,Post,0
ry_1,-0.00122333515971949,0.000734321843471701,-1.66593867606587,0.115179790194959,1,-0.122333515971949,-0.266260597292403,0.021593565348504,Post,0
ry_2,0.000696353611676135,0.000850454572665119,0.818801655088914,0.424927773660091,2,0.0696353611676134,-0.0970537350747498,0.236324457409977,Post,0
ry_3,0.00131414423796499,0.00111001461928583,1.18389813533311,0.253744275988709,3,0.131414423796499,-0.0861484415835239,0.348977289176522,Post,0
ry_4,0.00421477386828508,0.00153627417041596,2.74350369839512,0.0144253896380115,4,0.421477386828508,0.12036764942698,0.722587124230037,Post,0
ry_5,0.00439576498256456,0.00172408250967387,2.54962564604641,0.0214194619433899,5,0.439576498256456,0.101656326360378,0.777496670152535,Post,0
ry_6,0.0026663743327832,0.00187069182578994,1.42534130743703,0.17327504215607,6,0.26663743327832,-0.100018164576508,0.633293031133149,Post,0
ry_7,0.00464795237754129,0.00217624679303303,2.1357652966663,0.0485016814210589,7,0.464795237754129,0.0382508663196537,0.891339609188604,Post,0
ry_8,0.00627919755258381,0.00286440842878912,2.19214462905286,0.0435037212958578,8,0.627919755258381,0.0664957032157128,1.18934380730105,Post,0
ry_9,0.0032902724795339,0.00301497789718641,1.09130898856818,0.291298703343309,9,0.32902724795339,-0.261908419895146,0.919962915801927,Post,0
ry_10,0.00417450160497807,0.00252404058625499,1.65389638649667,0.117630729169592,10,0.417450160497807,-0.0772617944081705,0.912162115403784,Post,0
ry_11,0.0018582972856888,0.00260195996206951,0.714191345285256,0.48539845079729,11,0.18582972856888,-0.324154423996744,0.695813881134504,Post,0
ry_12,0.00247409476170295,0.0031817673709806,0.777585056741734,0.448159389418574,12,0.247409476170295,-0.376216928541903,0.871035880882493,Post,0
ry_13,0.000423127098678161,0.00369759509534086,0.114433053854739,0.910318225365774,13,0.0423127098678161,-0.682415928818993,0.767041348554625,Post,0
ry_14,0.0034343984772632,0.0040547699419922,0.847002055947915,0.409484908490455,14,0.34343984772632,-0.451295060904151,1.13817475635679,Post,0
ry_pool_post,0.0082943606572336,0.00391938946631978,2.11623793157301,0.0503524574105238,15,0.82943606572336,0.0612357303246825,1.59763640112204,Post,1
