filing_period,period_id,age_bin,mean_per_tank_premium,median_per_tank_premium,mean_n_tanks,n_tank_months,mean_age,mean_facility_premium,median_facility_premium,n_fac_months
2006-2014,P1,0-2,283.710109326255,283.2,12.9957387733066,51863,1.0511904532362,2370.94060586536,2548.8,6206
2006-2014,P1,3-5,282.072632794247,283.2,12.4717945428107,46764,4.03173130681889,2101.79168260046,1593,6276
2006-2014,P1,6-8,306.930897962544,324,11.1797266705794,59635,7.19359228038939,2093.54044378363,1770,8743
2006-2014,P1,9-11,307.472025932424,336.3,8.40317659912185,97022,10.1646302360483,1758.10648868456,1593,16968
2006-2014,P1,12-14,317.325073129204,371.7,8.85578031095431,112814,13.0436877779285,1650.24251140926,1486.8,21693
2006-2014,P1,15-17,327.090318853721,371.7,8.22355486472862,95216,16.0215930845952,1592.89237929627,1425,19552
2006-2014,P1,18-20,328.548874908174,389.4,6.91542192545705,77727,19.1531065485412,1404.06413019572,1168.2,18188
2006-2014,P1,21-23,346.821590038,424.8,5.7825570742105,106966,22.1761870745661,1401.67447009464,1274.4,26467
2006-2014,P1,24+,345.002145122436,424.8,5.60028696571515,463470,30.0713699761575,1281.48156857103,1256.7,124776
2014-2019,P2,0-2,284.910580263063,283.2,14.2934196794899,69951,0.855326483640632,2910.73170731716,2592,6847
2014-2019,P2,3-5,286.220685663688,283.2,12.7370703117823,54429,4.15590685131149,2385.71297090358,2548.8,6530
2014-2019,P2,6-8,324.283048460999,324,11.6828156368503,71728,7.1363815296535,2502.43942980092,1872,9295
2014-2019,P2,9-11,331.813164657121,354,10.8110792646768,80944,10.0892426810358,2421.84714156899,1858.5,11090
2014-2019,P2,12-14,338.236917179242,354,10.3319465493844,100953,13.1831112815981,2128.6722461194,1710,16041
2014-2019,P2,15-17,351.949501471942,371.7,8.52989033808867,140614,16.1256209023507,1967.05064589217,1770,25159
2014-2019,P2,18-20,361.116610285455,389.4,7.83736581249151,139823,19.0355273296,1862.22644390363,1601.85,27114
2014-2019,P2,21-23,390.771669753698,424.8,7.50733307017278,98799,22.039415090744,1900.17965350917,1699.2,20318
2014-2019,P2,24+,420.517609441579,442.5,5.51624522358044,602177,32.5786844442167,1578.20427604472,1433.7,160452
2019-2021,P3,0-2,321.245354906918,336.3,14.1118691232243,89122,0.944754568643659,3208.20579560727,2916,8924
2019-2021,P3,3-5,333.110630129385,346.92,10.9304899278786,64336,3.97830421264235,2784.33227231394,2994.84,7697
2019-2021,P3,6-8,346.844124277909,349.2,9.7554259435814,53493,7.12949543804664,2613.93811496196,2304.54,7098
2019-2021,P3,9-11,366.934833264853,363.6,9.78214069428979,51189,10.1338995767502,2615.29200501249,1800,7182
2019-2021,P3,12-14,383.597437901607,389.4,9.82653077175595,63971,13.0391626488489,2761.85837929094,1800,8885
2019-2021,P3,15-17,398.17374963185,396,8.46290985194946,64505,16.1961427075115,2532.45885624137,1947,10142
2019-2021,P3,18-20,402.186718294146,396,7.68678235185527,108340,19.2051174240094,2311.19233331566,1805.4,18853
2019-2021,P3,21-23,433.300545087383,432,7.34545730563841,111982,22.0119867642258,2242.23020517565,1947,21640
2019-2021,P3,24+,485.438397890492,477.9,5.43004036316252,471965,33.5160904597974,1918.49017316725,1646.1,119422
2021+,P4,0-2,328.131870772239,336.3,14.4469432623741,190579,0.940186221986704,3700.5174152317,3026.7,16899
2021+,P4,3-5,338.619097853314,350.46,11.517160966276,133792,4.04223035258727,3091.1931181771,3154.14,14656
2021+,P4,6-8,353.327766072987,364.62,11.4053010203638,114959,7.00247610480801,3121.59596218878,3249.72,13012
2021+,P4,9-11,370.224797729475,378,10.7102554657537,92302,10.0441095559148,3057.39369061455,3217.86,11177
2021+,P4,12-14,377.387489364929,378,9.93664797447549,82744,13.0901032099014,2852.52127706219,2070,10947
2021+,P4,15-17,402.308150667896,407.1,9.46105610919721,92017,16.0670827123922,2903.46581176467,1980,12750
2021+,P4,18-20,406.546479118222,396,8.57328886310905,103440,19.2127951254615,2647.18417474509,1947,15886
2021+,P4,21-23,434.718923490965,432,7.96046072390625,161485,22.1947580270612,2579.76574158465,2124,27212
2021+,P4,24+,482.077081743542,477.9,5.80979117880051,805378,33.6928436842383,2044.83189080949,1728,189871
