lookup_name,total_fac_months,mean_annual_share,peak_annual_share,years_present,first_year,last_year,pooled_share,market_rank,naic,in_original_pir,filing_status,filing_years_found,needs_followup
"",1816.58333333333,0.00189779830263126,0.00813744682546811,8,2007,2014,0.000894051658870018,26,,FALSE,NOT_REQUESTED,—,TRUE
.OTHER_CATCHALL,31365.5916666665,0.0215371092698517,0.0621621826733605,9,2012,2020,0.0154369242227751,13,,FALSE,NOT_REQUESTED,—,TRUE
ACE American Insurance Co.,93831.5,0.0442099893496234,0.0643875427335738,14,2007,2020,0.0461802146314576,7,22667,TRUE,FOUND_PARTIAL,2006–2015 (7 filings),FALSE
ACE SAFETY INDEM CO,890.883333333333,0.000619351553690949,0.00253349416365109,9,2011,2020,0.000438458124882601,31,,FALSE,NOT_REQUESTED,—,TRUE
ADMIRAL INS CO,3930.9,0.00269744241918287,0.00350085449093825,9,2012,2020,0.00193463608377567,23,,FALSE,NOT_REQUESTED,—,TRUE
AEGIS (Assoc Elec & Gas Ins Svcs Ltd),10620.1666666667,0.00489473302327289,0.00956411983897249,14,2007,2020,0.00522683295149836,18,,FALSE,NOT_REQUESTED,2005–2017 (6 filings),TRUE
AEGIS INS SVCS CO,1808.66666666667,0.00102849117660701,0.00315091210613599,14,2007,2020,0.000890155383463226,27,,FALSE,NOT_REQUESTED,—,TRUE
AIG Specialty / Chartis Specialty,90573.4464285726,0.0274285193907745,0.101751148171397,10,2007,2020,0.0445767273888013,8,26883,TRUE,NOT_FOUND,—,TRUE
ALLIED INS SVCS INC,301,0.00026408448052991,0.000680341061270619,7,2013,2020,0.000148140492308753,38,,FALSE,NOT_REQUESTED,—,TRUE
ALLIED WORLD ASSURANCE CO,1671.5,0.00103798610614473,0.00179970555943704,10,2011,2020,0.000822647285362394,28,,FALSE,NOT_REQUESTED,—,TRUE
AMERICAN SAFETY CASUALTY,159.283333333333,0.000134512953292955,0.000311314350446253,9,2007,2015,0.0000783930611846485,42,,FALSE,NOT_REQUESTED,—,TRUE
AMWINS PGM UNDERWRITERS,766.166666666667,0.000527794842815077,0.00201908041388027,9,2012,2020,0.000377077432526765,33,,FALSE,NOT_REQUESTED,—,TRUE
American Safety Indemnity Co.,17840.5333333333,0.0120075136225751,0.033704515828096,10,2007,2016,0.00878041658156383,16,,FALSE,NOT_REQUESTED,2005–2012 (7 filings),TRUE
BEAZLEY INS CO,364.5,0.000322635741125136,0.000861158104963587,7,2011,2020,0.000179392722413756,37,,FALSE,NOT_REQUESTED,—,TRUE
BURLINGTON INS CO,41.6666666666667,0.0000926005182701811,0.000153617282752822,3,2011,2013,0.0000205067126673246,53,,FALSE,NOT_REQUESTED,—,TRUE
CENTURY SURETY INS CO,109.833333333333,0.0000849552689351064,0.000193746367255614,8,2013,2020,0.0000540556945910677,48,,FALSE,NOT_REQUESTED,—,TRUE
CHEROKEE INS CO,640,0.000311128132781872,0.000534954045961474,14,2007,2020,0.000314983106570106,35,,FALSE,NOT_REQUESTED,—,TRUE
CHUBB CUSTOM INS CO,5493.40000000001,0.00263802030373663,0.00781854218353688,14,2007,2020,0.00270363780880035,22,,FALSE,NOT_REQUESTED,—,TRUE
