lookup_name,total_fac_months,mean_annual_share,peak_annual_share,years_present,first_year,last_year,pooled_share,market_rank,naic,in_original_pir,filing_status,filing_years_found,needs_followup
Colony Insurance Co.,163013.816666668,0.0846214486638838,0.132816656206106,14,2007,2020,0.0802290599804949,3,39993,TRUE,NOT_FOUND,—,TRUE
Ironshore Specialty Insurance Co.,125086.052380951,0.0647543708454474,0.132759629229652,12,2009,2020,0.0615624896367857,5,25445,TRUE,NOT_FOUND,—,TRUE
AIG Specialty / Chartis Specialty,90573.4464285726,0.0274285193907745,0.101751148171397,10,2007,2020,0.0445767273888013,8,26883,TRUE,NOT_FOUND,—,TRUE
Old Republic Insurance Co.,68616.1357142859,0.031160022137611,0.0718969698830357,14,2007,2020,0.0337701931064402,9,24147,TRUE,NOT_FOUND,—,TRUE
Illinois Union Insurance Co.,64535.9166666667,0.0348449855690748,0.0757363973781884,14,2007,2020,0.0317620679953377,10,27960,TRUE,NOT_FOUND,—,TRUE
Crum & Forster Specialty Insurance Co.,48799.9499999987,0.033414252007022,0.0486118042386113,9,2012,2020,0.0240174372679147,11,44520,TRUE,NOT_FOUND,—,TRUE
Indian Harbor Insurance Co.,33776.9,0.0157409820523895,0.0402370083120637,14,2007,2020,0.016623676394231,12,36940,TRUE,NOT_FOUND,—,TRUE
Nautilus Insurance Co.,29557.7333333333,0.0156783335648884,0.0215384135608254,12,2009,2020,0.0145471666695377,14,,FALSE,NOT_REQUESTED,—,TRUE
Tudor Insurance Co.,26114.7833333333,0.0119029094999306,0.0205868700872767,14,2007,2020,0.0128526805964665,15,,FALSE,NOT_REQUESTED,obtained separately,TRUE
American Safety Indemnity Co.,17840.5333333333,0.0120075136225751,0.033704515828096,10,2007,2016,0.00878041658156383,16,,FALSE,NOT_REQUESTED,2005–2012 (7 filings),TRUE
Commerce & Industry Insurance Co.,16786.75,0.00938543355023953,0.0238687514806918,14,2007,2020,0.00826178541283708,17,,FALSE,NOT_REQUESTED,—,TRUE
AEGIS (Assoc Elec & Gas Ins Svcs Ltd),10620.1666666667,0.00489473302327289,0.00956411983897249,14,2007,2020,0.00522683295149836,18,,FALSE,NOT_REQUESTED,2005–2017 (6 filings),TRUE
