panel_year,Group,Stratum,raw_closure_rate,n_fac_years,Panel
1990,Control,Q1 (Lowest),0.072317524386142,2973,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1991,Control,Q1 (Lowest),0.0648681418611701,3299,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1992,Control,Q1 (Lowest),0.0568965517241379,3480,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1993,Control,Q1 (Lowest),0.0499726925177499,3662,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1994,Control,Q1 (Lowest),0.0473958333333333,3840,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1995,Control,Q1 (Lowest),0.049727857496289,4042,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1996,Control,Q1 (Lowest),0.0467753366406804,4233,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1997,Control,Q1 (Lowest),0.0476951163852122,4382,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1998,Control,Q1 (Lowest),0.0894568690095847,4382,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1999,Control,Q1 (Lowest),0.0333409454213291,4379,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2000,Control,Q1 (Lowest),0.0173790511977454,4258,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2001,Control,Q1 (Lowest),0.0219518014793605,4191,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2002,Control,Q1 (Lowest),0.0211370262390671,4116,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2003,Control,Q1 (Lowest),0.0185873605947955,4035,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2004,Control,Q1 (Lowest),0.017362858580775,3974,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2005,Control,Q1 (Lowest),0.0155970340066479,3911,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2006,Control,Q1 (Lowest),0.0246241575946086,3858,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2007,Control,Q1 (Lowest),0.0225225225225225,3774,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2008,Control,Q1 (Lowest),0.0189291508923743,3698,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2009,Control,Q1 (Lowest),0.0231023102310231,3636,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2010,Control,Q1 (Lowest),0.0261309356560832,3559,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2011,Control,Q1 (Lowest),0.019551466359977,3478,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2012,Control,Q1 (Lowest),0.0277940315974254,3418,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2013,Control,Q1 (Lowest),0.0273027302730273,3333,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2014,Control,Q1 (Lowest),0.0230698246693325,3251,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
2015,Control,Q1 (Lowest),0.0185127078757452,3187,"Placebo stratum: Bottom quartile of cv_hazard
(lowest aging trajectory slope)"
1990,Control,Q4 (Highest),0.106304444116344,6773,"Treatment stratum: Top quartile of cv_hazard
(highest aging trajectory slope)"
1991,Control,Q4 (Highest),0.0927485062466051,7364,"Treatment stratum: Top quartile of cv_hazard
(highest aging trajectory slope)"
1992,Control,Q4 (Highest),0.0934723831595211,7767,"Treatment stratum: Top quartile of cv_hazard
(highest aging trajectory slope)"
1993,Control,Q4 (Highest),0.0925925925925926,8100,"Treatment stratum: Top quartile of cv_hazard
(highest aging trajectory slope)"
