spec,term,hr,coef,se,z,p
Spec1,did_term,0.00000000508571780256183,-19.096829656629,892.747800698002,-21.0210415456276,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000421091364133633
Spec1,did_term:age_bin5-9,0.0000000435562300438073,-16.9492130889124,964.760825811685,-15.9038143149305,0.00000000000000000000000000000000000000000000000000000000596214184136175
Spec1,did_term:age_bin10-14,0.000000000000000790298191794575,-34.7741213416833,1459.81544844597,-16.5668426235299,0.000000000000000000000000000000000000000000000000000000000000121015432165668
Spec1,did_term:age_bin15-19,0.0000000000000000000000327795223034218,-51.7722382314535,1890.37311711882,-16.6829481042937,0.0000000000000000000000000000000000000000000000000000000000000174395810127567
Spec1,did_term:age_bin20-24,0.0000000000000000000000000000013819038761323,-68.7540906210684,2367.84728565708,-16.7557927841086,0.00000000000000000000000000000000000000000000000000000000000000513715244049602
Spec1,did_term:age_bin25-29,0.0000000000000000000000000000000000000348117166308263,-86.2508646118591,3250.96383446728,-16.9009890360035,0.000000000000000000000000000000000000000000000000000000000000000442423115916336
Spec1,did_term:age_bin30-34,0.00000000000000000000000000000000000000000000333436796882129,-102.412046037921,7922.76038742562,-16.7797750240923,0.00000000000000000000000000000000000000000000000000000000000000343133586013004
Spec1,did_term:age_bin35+,,,0,,
Spec2,did_term,0.0000000013906867745612,-20.3934681294042,1704.14087626974,-22.4401870170176,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159572437476398
Spec2,did_term:age_bin5-9,0.00000238411589164819,-12.9466821976742,1879.95379996289,-17.6607037137586,0.000000000000000000000000000000000000000000000000000000000000000000000841835492462946
Spec2,did_term:age_bin10-14,0.00000000000438116783303531,-26.1537057985324,2832.58943351749,-15.4364258601606,0.00000000000000000000000000000000000000000000000000000931194912747112
Spec2,did_term:age_bin15-19,0.00000000000797794308521815,-25.5543404964369,3712.31304547845,-9.72401595493439,0.000000000000000000000238197313592883
Spec2,did_term:age_bin20-24,0.0000000000116246686931453,-25.1778916643756,4596.74318988723,-6.8595631549061,0.00000000000690714380446026
Spec2,did_term:age_bin25-29,0.00000000000954070799488816,-25.3754534199214,6061.90651815696,-5.39414127837131,0.0000000688520301158585
Spec2,did_term:age_bin30-34,0.00000000000936416092222082,-25.3941313812467,14309.2261985298,-4.44213097749434,0.00000890723102443346
Spec2,did_term:age_bin35+,,,0,,
