facility_id,state
000030,New Jersey
000038,Michigan
000045,Arkansas
000058,Texas
000698,Oklahoma
000805,Louisiana
001395,New Mexico
001426,Maine
001694,Montana
001714,Idaho
001948,Kansas
002856,South Dakota
003012,Alabama
003139,Minnesota
003314,Connecticut
003316,North Carolina
003346,Illinois
003882,Massachusetts
004122,Ohio
004652,Pennsylvania
004658,Tennessee
004659,Virginia
005069,New Jersey
005147,Michigan
005412,Arkansas
005695,Texas
005785,Oklahoma
006052,Louisiana
006526,New Mexico
006670,Maine
006706,Montana
007074,Idaho
007122,Kansas
007249,South Dakota
008402,Alabama
008403,Minnesota
008457,Connecticut
008467,North Carolina
008813,Illinois
012642,Massachusetts
013212,Ohio
013355,Pennsylvania
013410,Tennessee
014432,Virginia
014550,New Jersey
014552,Michigan
014553,Arkansas
014801,Texas
014802,Oklahoma
014805,Louisiana
014808,New Mexico
014819,Maine
014821,Montana
014824,Idaho
014829,Kansas
014833,South Dakota
014834,Alabama
014835,Minnesota
014845,Connecticut
014847,North Carolina
014848,Illinois
014951,Massachusetts
015206,Ohio
015267,Pennsylvania
015512,Tennessee
015926,Virginia
016149,New Jersey
016234,Michigan
016344,Arkansas
016402,Texas
016405,Oklahoma
016407,Louisiana
016458,New Mexico
016484,Maine
016495,Montana
016575,Idaho
016966,Kansas
016989,South Dakota
017131,Alabama
017958,Minnesota
017992,Connecticut
018500,North Carolina
018672,Illinois
018709,Massachusetts
018799,Ohio
018940,Pennsylvania
018941,Tennessee
018942,Virginia
018943,New Jersey
018944,Michigan
018945,Arkansas
018994,Texas
019024,Oklahoma
019083,Louisiana
019185,New Mexico
019234,Maine
019482,Montana
019573,Idaho
019611,Kansas
019874,South Dakota
020029,Alabama
020167,Minnesota
020227,Connecticut
020260,North Carolina
020275,Illinois
020290,Massachusetts
020366,Ohio
020456,Pennsylvania
020494,Tennessee
020497,Virginia
020523,New Jersey
020592,Michigan
020854,Arkansas
020923,Texas
020935,Oklahoma
021733,Louisiana
021967,New Mexico
022221,Maine
022268,Montana
022910,Idaho
023137,Kansas
023294,South Dakota
023499,Alabama
024146,Minnesota
024269,Connecticut
024283,North Carolina
024329,Illinois
024450,Massachusetts
024479,Ohio
024579,Pennsylvania
024798,Tennessee
024846,Virginia
024884,New Jersey
024906,Michigan
024938,Arkansas
024987,Texas
024988,Oklahoma
025005,Louisiana
025032,New Mexico
025061,Maine
025366,Montana
025493,Idaho
025830,Kansas
026050,South Dakota
026060,Alabama
026361,Minnesota
026400,Connecticut
026612,North Carolina
026679,Illinois
026814,Massachusetts
026901,Ohio
027037,Pennsylvania
