A_bin,w_state,scenario,action,P
1,1,baseline,maintain,0.975834483753814
1,1,baseline,exit,0.0226827621668249
1,1,baseline,replace,0.00148275407936104
2,1,baseline,maintain,0.975283115103122
2,1,baseline,exit,0.0232002997953397
2,1,baseline,replace,0.00151658510153811
3,1,baseline,maintain,0.973481356873856
3,1,baseline,exit,0.0248915052709525
3,1,baseline,replace,0.00162713785519129
4,1,baseline,maintain,0.970785992212295
4,1,baseline,exit,0.0274214870411829
4,1,baseline,replace,0.00179252074652208
5,1,baseline,maintain,0.96917964435522
5,1,baseline,exit,0.028929272185437
5,1,baseline,replace,0.00189108345934339
6,1,baseline,maintain,0.969534561888985
6,1,baseline,exit,0.0285961317747287
6,1,baseline,replace,0.00186930633628647
7,1,baseline,maintain,0.970184293361573
7,1,baseline,exit,0.0279862666961233
7,1,baseline,replace,0.00182943994230362
8,1,baseline,maintain,0.970509464690101
8,1,baseline,exit,0.0276810473151954
8,1,baseline,replace,0.00180948799470383
1,2,baseline,maintain,0.991700732211663
1,2,baseline,exit,7.93306237351386e-05
1,2,baseline,replace,0.00821993716460152
2,2,baseline,maintain,0.992894221523045
2,2,baseline,exit,6.79223581016068e-05
2,2,baseline,replace,0.00703785611885301
3,2,baseline,maintain,0.992998754357681
3,2,baseline,exit,6.69231548967054e-05
3,2,baseline,replace,0.00693432248742236
4,2,baseline,maintain,0.992832482254462
4,2,baseline,exit,6.8512508318542e-05
4,2,baseline,replace,0.00709900523721971
5,2,baseline,maintain,0.993017044910245
5,2,baseline,exit,6.67483200823121e-05
5,2,baseline,replace,0.0069162067696726
6,2,baseline,maintain,0.99273618619091
6,2,baseline,exit,6.9432978290069e-05
6,2,baseline,replace,0.00719438083080026
7,2,baseline,maintain,0.991775475130776
7,2,baseline,exit,7.86161748772089e-05
7,2,baseline,replace,0.00814590869434632
8,2,baseline,maintain,0.989460497818125
8,2,baseline,exit,0.000100744463640637
8,2,baseline,replace,0.0104387577182343
1,1,cf_TX_FF,maintain,0.983513938129011
1,1,cf_TX_FF,exit,0.0150334910271093
1,1,cf_TX_FF,replace,0.00145257084388031
2,1,cf_TX_FF,maintain,0.983306124539359
2,1,cf_TX_FF,exit,0.0152229943639147
2,1,cf_TX_FF,replace,0.00147088109672611
3,1,cf_TX_FF,maintain,0.98217173178154
3,1,cf_TX_FF,exit,0.0162574368814393
3,1,cf_TX_FF,replace,0.00157083133702072
4,1,cf_TX_FF,maintain,0.979652200804728
4,1,cf_TX_FF,exit,0.0185549744394587
4,1,cf_TX_FF,replace,0.00179282475581352
5,1,cf_TX_FF,maintain,0.978670270126123
5,1,cf_TX_FF,exit,0.0194503881629768
5,1,cf_TX_FF,replace,0.00187934171090049
6,1,cf_TX_FF,maintain,0.979381215389379
6,1,cf_TX_FF,exit,0.0188020835939678
6,1,cf_TX_FF,replace,0.0018167010166533
7,1,cf_TX_FF,maintain,0.980555518332628
7,1,cf_TX_FF,exit,0.0177312473385547
7,1,cf_TX_FF,replace,0.00171323432881759
8,1,cf_TX_FF,maintain,0.98220181772389
8,1,cf_TX_FF,exit,0.0162300017821475
8,1,cf_TX_FF,replace,0.00156818049396249
1,2,cf_TX_FF,maintain,0.991931213103257
1,2,cf_TX_FF,exit,4.85126793209254e-05
1,2,cf_TX_FF,replace,0.00802027421742255
2,2,cf_TX_FF,maintain,0.993135231383346
2,2,cf_TX_FF,exit,4.12736539920875e-05
2,2,cf_TX_FF,replace,0.00682349496266174
3,2,cf_TX_FF,maintain,0.993355918397182
3,2,cf_TX_FF,exit,3.99467979888831e-05
3,2,cf_TX_FF,replace,0.00660413480482888
4,2,cf_TX_FF,maintain,0.993173952525369
4,2,cf_TX_FF,exit,4.10408474537648e-05
4,2,cf_TX_FF,replace,0.00678500662717721
5,2,cf_TX_FF,maintain,0.992418997170259
5,2,cf_TX_FF,exit,4.55799321405674e-05
5,2,cf_TX_FF,replace,0.00753542289760071
6,2,cf_TX_FF,maintain,0.990823900932615
6,2,cf_TX_FF,exit,5.51702699761174e-05
6,2,cf_TX_FF,replace,0.00912092879740898
7,2,cf_TX_FF,maintain,0.9901084937792
7,2,cf_TX_FF,exit,5.94715755207589e-05
7,2,cf_TX_FF,replace,0.00983203464527883
8,2,cf_TX_FF,maintain,0.990168977169394
8,2,cf_TX_FF,exit,5.91079258978041e-05
8,2,cf_TX_FF,replace,0.00977191490470821
