start_state,scenario,action,age_at_event,density
A1_W1_TX,baseline,Exit,[1-5],0.1075
A1_W1_TX,baseline,Exit,[6-10],0.0998
A1_W1_TX,baseline,Exit,[11-15],0.0821
A1_W1_TX,baseline,Exit,[16+],0.3868
A1_W1_TX,baseline,Retrofit,[1-5],0.0074
A1_W1_TX,baseline,Retrofit,[6-10],0.0059
A1_W1_TX,baseline,Retrofit,[11-15],0.0052
A1_W1_TX,baseline,Retrofit,[16+],0.0222
A1_W1_TX,cf_TX_FF,Exit,[1-5],0.0714
A1_W1_TX,cf_TX_FF,Exit,[6-10],0.0658
A1_W1_TX,cf_TX_FF,Exit,[11-15],0.0638
A1_W1_TX,cf_TX_FF,Exit,[16+],0.3209
A1_W1_TX,cf_TX_FF,Retrofit,[1-5],0.0064
A1_W1_TX,cf_TX_FF,Retrofit,[6-10],0.0061
A1_W1_TX,cf_TX_FF,Retrofit,[11-15],0.0067
A1_W1_TX,cf_TX_FF,Retrofit,[16+],0.0282
A1_W2_TX,baseline,Exit,[1-5],8e-04
A1_W2_TX,baseline,Exit,[6-10],2e-04
A1_W2_TX,baseline,Exit,[11-15],5e-04
A1_W2_TX,baseline,Exit,[16+],0.0026
A1_W2_TX,baseline,Retrofit,[1-5],0.0389
A1_W2_TX,baseline,Retrofit,[6-10],0.0387
A1_W2_TX,baseline,Retrofit,[11-15],0.0348
A1_W2_TX,baseline,Retrofit,[16+],0.1945
A1_W2_TX,cf_TX_FF,Exit,[1-5],6e-04
A1_W2_TX,cf_TX_FF,Exit,[6-10],3e-04
A1_W2_TX,cf_TX_FF,Exit,[11-15],3e-04
A1_W2_TX,cf_TX_FF,Exit,[16+],0.0014
A1_W2_TX,cf_TX_FF,Retrofit,[1-5],0.0399
A1_W2_TX,cf_TX_FF,Retrofit,[6-10],0.0357
A1_W2_TX,cf_TX_FF,Retrofit,[11-15],0.0372
A1_W2_TX,cf_TX_FF,Retrofit,[16+],0.1975
A2_W1_TX,baseline,Exit,[1-5],0.1078
A2_W1_TX,baseline,Exit,[6-10],0.0965
A2_W1_TX,baseline,Exit,[11-15],0.0877
A2_W1_TX,baseline,Exit,[16+],0.3845
A2_W1_TX,baseline,Retrofit,[1-5],0.0064
A2_W1_TX,baseline,Retrofit,[6-10],0.0071
A2_W1_TX,baseline,Retrofit,[11-15],0.0052
A2_W1_TX,baseline,Retrofit,[16+],0.0254
A2_W1_TX,cf_TX_FF,Exit,[1-5],0.0721
A2_W1_TX,cf_TX_FF,Exit,[6-10],0.0617
A2_W1_TX,cf_TX_FF,Exit,[11-15],0.0613
A2_W1_TX,cf_TX_FF,Exit,[16+],0.32
A2_W1_TX,cf_TX_FF,Retrofit,[1-5],0.0066
A2_W1_TX,cf_TX_FF,Retrofit,[6-10],0.0066
A2_W1_TX,cf_TX_FF,Retrofit,[11-15],0.0069
A2_W1_TX,cf_TX_FF,Retrofit,[16+],0.0328
A2_W2_TX,baseline,Exit,[1-5],2e-04
A2_W2_TX,baseline,Exit,[6-10],1e-04
A2_W2_TX,baseline,Exit,[11-15],1e-04
A2_W2_TX,baseline,Exit,[16+],0.0022
A2_W2_TX,baseline,Retrofit,[1-5],0.0349
A2_W2_TX,baseline,Retrofit,[6-10],0.0323
A2_W2_TX,baseline,Retrofit,[11-15],0.0325
A2_W2_TX,baseline,Retrofit,[16+],0.2021
A2_W2_TX,cf_TX_FF,Exit,[1-5],3e-04
A2_W2_TX,cf_TX_FF,Exit,[6-10],4e-04
A2_W2_TX,cf_TX_FF,Exit,[11-15],3e-04
A2_W2_TX,cf_TX_FF,Exit,[16+],0.0013
A2_W2_TX,cf_TX_FF,Retrofit,[1-5],0.0343
A2_W2_TX,cf_TX_FF,Retrofit,[6-10],0.0293
A2_W2_TX,cf_TX_FF,Retrofit,[11-15],0.0327
A2_W2_TX,cf_TX_FF,Retrofit,[16+],0.1894
