age_bins,wall_binary,L_hat,L_median,L_sd,n_claims
0-5,Double-Walled,394579.774648396,379285.688815067,174573.399685847,404
0-5,Single-Walled,722045.548411214,680724.059262617,286550.293183749,343
5-10,Double-Walled,335248.774185577,327637.185208382,155231.902687457,166
5-10,Single-Walled,692932.313396235,634400.375884577,563329.59056174,404
10-15,Double-Walled,266608.817840385,237738.18628579,167732.979015136,182
10-15,Single-Walled,517884.329182549,457249.208504906,248334.815571984,876
15-20,Double-Walled,227413.93269442,187248.674502544,203622.497649843,132
15-20,Single-Walled,504113.052927535,442635.944706397,262235.156640027,1116
20-25,Double-Walled,170307.832403943,157565.129276024,104419.110403916,129
20-25,Single-Walled,487737.745433823,446946.572475954,233353.044337596,1101
25-30,Double-Walled,152345.478560433,112087.956031199,164340.64471826,67
25-30,Single-Walled,420016.111663572,370907.009802825,272515.446939192,741
30-35,Double-Walled,213683.2303131,124056.334319691,420887.020141591,30
30-35,Single-Walled,356818.174057031,310935.780663011,230871.463236615,399
35+,Double-Walled,317907.858109901,275027.342344598,279189.004541623,4
35+,Single-Walled,312039.66741557,297203.811084749,171366.902346149,357
