age_bins_3yr,wall_binary,L_hat,L_median,L_sd,n_claims
0-2,Double-Walled,386415.264240396,376061.913652915,155469.693442438,341
0-2,Single-Walled,631093.366461714,582577.918696509,266954.762610232,262
3-5,Double-Walled,313858.710929186,292358.693305806,151034.299713732,98
3-5,Single-Walled,867776.091696472,855761.192801479,273066.485029207,132
6-8,Double-Walled,238553.319400802,237224.881069753,114113.969347622,98
6-8,Single-Walled,863772.896334364,753357.27876792,863140.83540715,242
9-11,Double-Walled,273249.861747009,256737.879907487,162804.404298626,116
9-11,Single-Walled,537848.133902481,495504.383544232,243556.093036066,393
12-14,Double-Walled,272133.465986745,245595.98040763,164186.447340087,99
12-14,Single-Walled,467542.619265244,419064.606538243,222932.05070491,594
15-17,Double-Walled,231637.939454508,183487.18980706,228776.879496816,85
15-17,Single-Walled,500976.287135989,443391.597481102,244951.530033945,648
18-20,Double-Walled,211880.492089088,191841.515417325,98151.1828007173,78
18-20,Single-Walled,485604.314900906,423957.472228267,251908.894404458,692
21-23,Double-Walled,216895.039136034,172340.814373181,149546.140786486,68
21-23,Single-Walled,492153.662764911,450604.558215202,229655.41196197,646
24+,Double-Walled,183648.618456559,128386.465297254,225522.073985823,131
24+,Single-Walled,378197.243250562,331380.344617581,248571.713849373,1728
