age_bins,sw_tercile,L_hat,L_median,L_p25,L_p75,L_sd,n_claims
0-5,0-33%,394579.774648395,379285.688815067,282502.09169663,494304.662667234,174573.399685847,404
0-5,34-66%,746485.407427451,589938.822582947,372070.213118689,819234.140171323,496767.889872497,10
0-5,67-100%,722045.548411214,680724.059262617,517205.764504873,881844.717434331,286550.293183749,343
0-5,Unknown,469437.395502325,275560.854495477,171342.327492712,712584.575967273,363866.760529919,132
5-10,0-33%,335248.774185577,327637.185208382,238818.735107341,405950.943280664,155231.902687457,166
5-10,34-66%,763146.018127282,592326.171087736,413263.623617415,785681.76619706,581432.939591674,28
5-10,67-100%,692932.313396235,634400.375884577,444289.161496054,797380.305103315,563329.59056174,404
5-10,Unknown,533902.03955428,570476.878711424,318239.766215466,710015.544073813,268897.173026467,170
10-15,0-33%,266608.817840385,237738.18628579,150741.403931962,320784.111600329,167732.979015136,182
10-15,34-66%,484611.784295738,424306.880574528,359345.167382735,544093.242492386,226825.498170913,25
10-15,67-100%,517884.329182549,457249.208504906,341974.796615411,638974.889273406,248334.815571984,876
10-15,Unknown,352978.445030483,298585.225827709,160469.08913875,504824.308795945,224954.487106505,240
15-20,0-33%,227413.93269442,187248.674502544,144296.91599655,229424.279868497,203622.497649843,132
15-20,34-66%,557652.933622175,437776.488559586,302504.444543857,671942.839765381,357989.931690117,31
15-20,67-100%,504113.052927535,442635.944706397,323902.625115674,632762.789769211,262235.156640027,1116
15-20,Unknown,341072.095767987,247539.284533168,160614.540523823,463688.074474901,257207.245492674,260
20-25,0-33%,170307.832403943,157565.129276024,95298.1966205638,204859.059812115,104419.110403916,129
20-25,34-66%,603947.940165912,453272.963336389,347453.861982822,863876.223795463,354112.408239883,23
20-25,67-100%,487737.745433823,446946.572475954,323207.755308643,598633.038502264,233353.044337596,1101
20-25,Unknown,358434.718035165,242503.444212827,170878.385167392,450073.401671421,369651.694589151,260
25-30,0-33%,152345.478560432,112087.956031199,87980.7201161176,170202.602265923,164340.64471826,67
25-30,34-66%,371734.826013713,326462.713852341,159375.605884151,415736.319770654,254704.721039333,18
25-30,67-100%,420016.111663572,370907.009802825,268926.863827145,525272.598921763,272515.446939192,741
25-30,Unknown,367084.045037913,243368.569771757,153246.851016797,491935.799618287,323437.790710894,118
30-35,0-33%,213683.2303131,124056.334319691,45791.5170654576,198979.916895568,420887.020141591,30
30-35,34-66%,447731.00724276,392883.595714235,221095.902433221,616204.319234385,342966.821858383,10
30-35,67-100%,356818.174057031,310935.780663011,196551.012538012,449733.609269909,230871.463236615,399
30-35,Unknown,315258.499686436,236292.239577361,142510.494669805,398534.030473452,265568.417509337,78
35+,0-33%,317907.858109901,275027.342344598,83932.4499231216,509002.750531378,279189.004541623,4
35+,34-66%,363612.811931978,406156.02042211,392454.354448168,428568.756952149,131170.846402886,5
35+,67-100%,312039.66741557,297203.811084749,180538.360204651,416218.139655351,171366.902346149,357
35+,Unknown,218109.341698311,158335.695915184,99057.8828497346,314335.014790863,159232.217528281,53
