scope,wall_mode,state,N,uniform_prem,share_over,spread_pct,fee_pct_fair
single_2005,AgeWall,LA,11025,6037.70458413623,0.671383219954649,0.0908765196003928,0.00894379631323506
single_2005,AgeWall,TN,20441,6094.17661508217,0.650114965021281,0.0905672582334114,0.0410227690778255
single_2005,AgeWall,CO,7989,5896.6681642847,0.617474026786832,0.102654764963576,0.0059355553042632
pooled_all_years,AgeWall,CO,341431,5943.06441683849,0.616818625139486,0.102792655324709,0.00394919503774819
pooled_all_years,AgeWall,TN,893769,6025.4688270995,0.637969094922737,0.0998020038556612,0.0213895182626331
pooled_all_years,AgeWall,LA,502726,5814.85546422848,0.559479716585178,0.108466809653283,0.00321162089206067
single_2005,AgeOnly,LA,11025,5938.69187701301,0.671383219954649,0.0898182949130839,0.00909291155667103
single_2005,AgeOnly,TN,20441,6023.49804194644,0.684457707548554,0.0876077775235338,0.0415041223984884
single_2005,AgeOnly,CO,7989,5843.159317697,0.617474026786832,0.0984051564318604,0.00598991026891849
pooled_all_years,AgeOnly,CO,341431,5875.00196630945,0.616818625139486,0.101770191793572,0.00399494683382038
pooled_all_years,AgeOnly,TN,893769,5945.67568725001,0.637969094922737,0.0989022509457538,0.0216765734119248
pooled_all_years,AgeOnly,LA,502726,5717.43964893676,0.559479716585178,0.10812634818792,0.003266341656392
